"Date","Product_ID","Unit","Stock","Min_stock_level","Closing_Stock","Product_Name"
"11/1/2024","P-0038","szt.","68","90","227","REX Screws Model 266"
"11/1/2024","P-0039","szt.","185","25","181","Dell Monitors Model 664"
"11/1/2024","P-0040","szt.","306","21","297","Dell Laptops 886"
"11/1/2024","P-0041","szt.","328","52","314","Mahle Filters 384"
"11/1/2024","P-0042","licencja","226","83","216","Microsoft Software Model 985"
"11/1/2024","P-0043","para","287","90","278","Honeywell Gloves Model 797"
"11/1/2024","P-0044","szt.","537","10","495","NTN Bearings 355"
"11/1/2024","P-0045","szt.","38","45","99","Sachs Engine parts Model 494"
"11/1/2024","P-0046","szt.","74","58","69","DeWalt Tools 590"
"11/1/2024","P-0047","szt.","389","45","372","Siemens Sensors Model 475"
"11/1/2024","P-0048","szt.","2","51","55","BIC Pens Model 308"
"11/1/2024","P-0049","szt.","13","55","81","Sachs Engine parts 231"
"11/1/2024","P-0050","szt.","375","73","359","Portwest Workwear 502"
"11/1/2024","P-0051","szt.","312","13","304","Brother Printers 174"
"11/1/2024","P-0052","szt.","31","49","101","LG Monitors 200"
"11/1/2024","P-0053","szt.","227","31","219","Brother Toner Model 588"
"11/1/2024","P-0054","szt.","146","94","121","SKF Bearings Model 107"
"11/1/2024","P-0055","szt.","105","26","100","Mann Filters Model 376"
"11/1/2024","P-0056","szt.","337","29","320","Xerox Toner Model 540"
"11/1/2024","P-0057","szt.","226","87","220","Uvex Safety glasses 501"
"11/1/2024","P-0058","szt.","349","9","343","Xerox Toner 562"
"11/1/2024","P-0059","szt.","217","59","214","Stabilo Pens Model 330"
"11/1/2024","P-0060","szt.","391","77","380","Stabilo Pens 199"
"11/1/2024","P-0061","szt.","236","40","220","SKF Bearings 305"
"11/1/2024","P-0062","szt.","121","64","120","Xerox Toner 651"
"11/1/2024","P-0063","szt.","170","39","161","Ardon Workwear 121"
"11/1/2024","P-0064","szt.","379","54","362","HP Printers 275"
"11/1/2024","P-0065","szt.","30","33","81","3M Helmets 818"
"11/1/2024","P-0066","op.","231","1","218","Xerox Paper Model 244"
"11/1/2024","P-0067","szt.","151","115","140","Bosch Engine parts 487"
"11/1/2024","P-0068","szt.","276","68","251","Wurth Screws 207"
"11/1/2024","P-0069","szt.","86","102","217","Makita Tools Model 462"
"11/1/2024","P-0070","szt.","285","38","264","Siemens Sensors 515"
"11/1/2024","P-0071","szt.","323","17","302","Samsung Monitors Model 493"
"11/1/2024","P-0072","szt.","96","70","72","BIC Pens Model 714"
"11/1/2024","P-0073","op.","273","57","270","Papyrus Paper Model 828"
"11/1/2024","P-0074","L","77","117","579","Mobil Oils 514L"
"11/1/2024","P-0075","para","368","77","358","Ansell Gloves Rękawice 979"
"11/1/2024","P-0076","szt.","197","20","181","NTN Bearings 636"
"11/1/2024","P-0077","szt.","92","38","88","Milwaukee Tools 349"
"11/1/2024","P-0078","szt.","327","67","315","HP Printers 417"
"11/1/2024","P-0079","szt.","44","35","111","3M Safety glasses 207"
"11/1/2024","P-0080","szt.","52","99","213","Mann Filters 324"
"11/1/2024","P-0081","szt.","198","33","188","3M Helmets 757"
"11/1/2024","P-0082","szt.","50","24","48","Makita Tools 948"
"11/1/2024","P-0083","szt.","156","19","148","FAG Bearings Model 446"
"11/1/2024","P-0084","szt.","454","46","437","HP Laptops 171"
"11/1/2024","P-0085","szt.","194","127","191","Canon Printers Model 247"
"11/1/2024","P-0086","szt.","32","139","307","Siemens Motors 957"
"11/1/2024","P-0087","szt.","26","79","139","Asus Laptops 814"
"11/1/2024","P-0088","op.","277","1","271","Papyrus Paper 539 op."
"11/1/2024","P-0089","szt.","23","13","22","Brother Printers 286"
"11/1/2024","P-0090","szt.","11","67","114","Bosch Engine parts 339"
"11/1/2024","P-0091","szt.","200","27","196","Dell Laptops Model 530"
"11/1/2024","P-0092","szt.","119","13","111","Canon Printers 771"
"11/1/2024","P-0093","szt.","334","98","314","Bosch Filters 887"
"11/1/2024","P-0094","szt.","173","11","160","NTN Bearings Model 142"
"11/1/2024","P-0095","licencja","224","34","215","Microsoft Software Model 978"
"11/1/2024","P-0096","licencja","240","21","230","Adobe Software Model 534"
"11/1/2024","P-0097","licencja","76","84","209","Microsoft Software 656"
"11/1/2024","P-0098","szt.","234","79","362","Xerox Toner Model 461"
"11/1/2024","P-0099","szt.","49","9","49","NTN Bearings 561"
"11/1/2024","P-0100","szt.","199","102","189","Samsung Monitors Model 937"
"11/1/2024","P-0101","szt.","201","95","190","Lenovo Laptops Model 847"
"11/1/2024","P-0102","szt.","205","62","194","Bosch Engine parts 699"
"11/1/2024","P-0103","szt.","368","3","343","Mahle Filters 613"
"11/1/2024","P-0104","szt.","18","56","116","Brother Toner 350"
"11/1/2024","P-0105","szt.","38","20","69","Sachs Engine parts Model 961"
"11/1/2024","P-0106","szt.","145","108","140","Milwaukee Tools 577"
"11/1/2024","P-0107","szt.","192","30","182","Petzl Helmets 262"
"11/1/2024","P-0108","szt.","244","45","223","Mahle Filters 440"
"11/1/2024","P-0109","szt.","83","16","79","Siemens Motors 555"
"11/1/2024","P-0110","szt.","208","101","194","Siemens Sensors Model 227"
"11/1/2024","P-0111","szt.","329","32","320","Stabilo Pens Model 371"
"11/1/2024","P-0112","szt.","311","12","292","Mahle Filters Model 774"
"11/1/2024","P-0113","szt.","219","75","214","3M Helmets 708"
"11/1/2024","P-0114","szt.","294","94","281","Brother Toner 137"
"11/1/2024","P-0115","para","189","36","179","Honeywell Gloves Model 902"
"11/1/2024","P-0116","op.","56","14","53","Papyrus Paper 886 op."
"11/1/2024","P-0117","szt.","401","8","374","REX Screws Model 988"
"11/1/2024","P-0118","szt.","124","27","118","HP Printers 478"
"11/1/2024","P-0119","szt.","90","8","88","Stabilo Pens Model 829"
"11/1/2024","P-0120","szt.","341","50","320","HP Printers 352"
"11/1/2024","P-0121","para","310","5","298","Honeywell Gloves Rękawice 282"
"11/1/2024","P-0122","szt.","235","88","226","Canon Printers 361"
"11/1/2024","P-0123","para","421","92","400","Ansell Gloves Model 483"
"11/1/2024","P-0124","szt.","227","67","225","Profim Office chairs Model 193"
"11/1/2024","P-0125","szt.","197","76","193","Profim Office chairs 680"
"11/1/2024","P-0126","szt.","372","106","344","Bosch Engine parts Model 267"
"11/1/2024","P-0127","szt.","38","42","125","Wurth Screws Model 509"
"11/1/2024","P-0128","szt.","22","67","138","Brother Printers Model 125"
"11/1/2024","P-0129","op.","29","40","67","Xerox Paper 768 op."
"11/1/2024","P-0130","szt.","296","1","327","NTN Bearings Model 625"
"11/1/2024","P-0131","L","300","22","223","Castrol Oils 773L"
"11/1/2024","P-0132","szt.","298","44","289","IKEA Office chairs Model 453"
"11/1/2024","P-0133","para","83","15","83","Honeywell Gloves Rękawice 20"
"11/1/2024","P-0134","szt.","341","39","322","HP Laptops 911"
"11/1/2024","P-0135","op.","98","34","132","Navigator Paper Model 150"
"11/1/2024","P-0136","szt.","171","66","161","Makita Tools Model 634"
"11/1/2024","P-0137","szt.","1","52","64","Asus Laptops Model 998"
"11/1/2024","P-0138","op.","233","53","228","Xerox Paper Model 217"
"11/1/2024","P-0139","szt.","223","2","206","Wurth Screws Model 872"
"11/1/2024","P-0140","szt.","18","43","83","HP Toner 893"
"11/1/2024","P-0141","szt.","64","45","62","LG Monitors 766"
"11/1/2024","P-0142","szt.","221","52","213","Gates Engine parts Model 699"
"11/1/2024","P-0143","szt.","160","86","158","Xerox Toner Model 502"
"11/1/2024","P-0144","L","722","163","672","Shell Oils 259L"
"11/1/2024","P-0145","szt.","439","15","412","ABB Motors Model 367"
"11/1/2024","P-0146","szt.","333","33","319","IKEA Office chairs 642"
"11/1/2024","P-0147","szt.","137","1","135","BIC Pens 969"
"11/1/2024","P-0148","szt.","127","52","115","REX Screws Model 462"
"11/1/2024","P-0149","szt.","86","104","220","Helly Hansen Workwear 802"
"11/1/2024","P-0150","szt.","23","35","76","Dell Laptops Model 717"
"11/1/2024","P-0151","szt.","125","120","121","Portwest Workwear 229"
"11/1/2024","P-0152","szt.","334","35","321","DeWalt Tools 121"
"11/1/2024","P-0153","szt.","348","65","323","Makita Tools Model 626"
"11/1/2024","P-0154","szt.","313","103","296","Portwest Workwear Model 180"
"11/1/2024","P-0155","szt.","135","13","111","ABB Motors Model 536"
"11/1/2024","P-0156","szt.","99","92","96","Milwaukee Tools 450"
"11/1/2024","P-0157","L","1411","136","1931","Shell Oils 971L"
"11/1/2024","P-0158","licencja","339","62","323","Microsoft Software 934"
"11/1/2024","P-0159","szt.","158","64","157","Nowy Styl Office chairs Model 309"
"11/1/2024","P-0160","szt.","316","135","302","Honeywell Safety glasses Model 389"
"11/1/2024","P-0161","szt.","255","46","293","Mahle Filters Model 612"
"11/1/2024","P-0162","szt.","68","134","218","HP Laptops Model 453"
"11/1/2024","P-0163","szt.","119","13","118","HP Toner 779"
"11/1/2024","P-0164","szt.","58","102","232","Bosch Filters Model 838"
"11/1/2024","P-0165","szt.","275","44","267","LG Monitors 668"
"11/1/2024","P-0166","para","80","54","79","Uvex Gloves Model 123"
"11/1/2024","P-0167","szt.","158","3","156","Profim Office chairs 367"
"11/1/2024","P-0168","szt.","229","22","224","Dell Monitors 143"
"11/1/2024","P-0169","szt.","226","75","213","SICK Sensors Model 536"
"11/1/2024","P-0170","szt.","154","75","145","DeWalt Tools 112"
"11/1/2024","P-0171","L","541","230","495","Castrol Oils 702L"
"11/1/2024","P-0172","szt.","305","14","296","HP Toner 159"
"11/1/2024","P-0173","L","254","161","234","Total Oils 428L"
"11/1/2024","P-0174","szt.","186","75","172","Makita Tools Model 673"
"11/1/2024","P-0175","szt.","84","48","82","Xerox Toner 830"
"11/1/2024","P-0176","szt.","1","43","54","IKEA Office chairs 857"
"11/1/2024","P-0177","szt.","137","94","128","Portwest Workwear Model 185"
"11/1/2024","P-0178","szt.","132","100","123","Milwaukee Tools Model 960"
"11/1/2024","P-0179","szt.","240","33","235","Canon Printers 347"
"11/1/2024","P-0180","op.","206","22","202","Xerox Paper Model 793"
"11/1/2024","P-0181","szt.","3","68","137","LG Monitors 907"
"11/1/2024","P-0182","L","631","272","594","Castrol Oils 265L"
"11/1/2024","P-0183","op.","151","39","148","Papyrus Paper Model 764"
"11/1/2024","P-0184","para","258","14","249","Honeywell Gloves Model 753"
"11/1/2024","P-0185","L","429","299","387","Shell Oils 837L"
"11/1/2024","P-0186","szt.","125","48","122","Siemens Motors 526"
"11/1/2024","P-0187","para","193","114","309","Ansell Gloves Model 531"
"11/1/2024","P-0188","szt.","196","56","186","Wurth Screws 342"
"11/1/2024","P-0189","szt.","80","31","72","Makita Tools Model 693"
"11/1/2024","P-0190","szt.","234","2","215","REX Screws 598"
"11/1/2024","P-0191","szt.","236","73","224","HP Toner 902"
"11/1/2024","P-0192","szt.","176","13","168","Dell Laptops 950"
"11/1/2024","P-0193","szt.","415","138","389","Siemens Motors 871"
"11/1/2024","P-0194","szt.","196","123","190","ABB Motors 403"
"11/1/2024","P-0195","szt.","258","19","245","Uvex Safety glasses 971"
"11/1/2024","P-0196","L","543","163","504","Castrol Oils 371L"
"11/1/2024","P-0197","op.","95","40","89","Navigator Paper Model 100"
"11/1/2024","P-0198","szt.","171","35","160","WEG Motors Model 250"
"11/1/2024","P-0199","L","855","66","793","Shell Oils 872L"
"11/1/2024","P-0200","szt.","44","44","44","Samsung Monitors Model 719"
"11/1/2024","P-0201","szt.","30","88","143","Petzl Helmets 833"
"11/1/2024","P-0202","szt.","366","64","354","Nowy Styl Office chairs 612"
"11/1/2024","P-0203","szt.","56","107","223","NTN Bearings 209"
"11/1/2024","P-0204","szt.","265","68","249","Honeywell Safety glasses 178"
"11/1/2024","P-0205","szt.","333","24","304","Siemens Sensors 598"
"11/1/2024","P-0206","szt.","41","177","313","Uvex Safety glasses 886"
"11/1/2024","P-0207","szt.","578","11","532","NTN Bearings 636"
"11/1/2024","P-0208","op.","32","6","32","Navigator Paper 40 op."
"11/1/2024","P-0209","szt.","65","5","62","Xerox Toner 115"
"11/1/2024","P-0210","szt.","159","13","154","Bosch Filters Model 644"
"11/1/2024","P-0211","szt.","249","29","243","Brother Printers 353"
"11/1/2024","P-0212","szt.","325","49","301","WEG Motors Model 175"
"11/1/2024","P-0213","szt.","248","61","229","Bosch Filters 747"
"11/1/2024","P-0214","szt.","266","102","262","BIC Pens 568"
"11/1/2024","P-0215","licencja","148","11","140","Microsoft Software 204"
"11/1/2024","P-0216","szt.","320","62","302","Bosch Tools 540"
"11/1/2024","P-0217","licencja","335","34","319","Microsoft Software Model 547"
"11/1/2024","P-0218","szt.","132","39","131","Dell Monitors 692"
"11/1/2024","P-0219","szt.","329","53","309","Petzl Helmets Model 991"
"11/1/2024","P-0220","L","365","374","845","Castrol Oils 610L"
"11/1/2024","P-0221","szt.","134","40","128","Mahle Filters 429"
"11/1/2024","P-0222","szt.","137","55","132","Wurth Screws Model 983"
"11/1/2024","P-0223","szt.","239","8","223","Mann Filters Model 631"
"11/1/2024","P-0224","szt.","16","72","132","Mann Filters Model 604"
"11/1/2024","P-0225","szt.","429","28","416","BIC Pens 830"
"11/1/2024","P-0226","szt.","240","14","270","Milwaukee Tools 168"
"11/1/2024","P-0227","szt.","139","66","134","HP Toner Model 179"
"11/1/2024","P-0228","L","43","107","291","Shell Oils 725L"
"11/1/2024","P-0229","szt.","38","8","38","Stabilo Pens 452"
"11/1/2024","P-0230","szt.","351","20","330","Valeo Engine parts 382"
"11/1/2024","P-0231","szt.","251","76","243","Helly Hansen Workwear Model 379"
"11/1/2024","P-0232","op.","96","68","94","Xerox Paper Model 662"
"11/1/2024","P-0233","szt.","317","23","308","BIC Pens Model 395"
"11/1/2024","P-0234","licencja","182","37","171","Microsoft Software 771"
"11/1/2024","P-0235","szt.","285","73","423","Brother Printers 970"
"11/1/2024","P-0236","szt.","88","53","86","Brother Printers Model 421"
"11/1/2024","P-0237","szt.","95","21","94","Nowy Styl Office chairs Model 858"
"11/1/2024","P-0238","szt.","128","29","122","SICK Sensors Model 476"
"11/1/2024","P-0239","szt.","229","13","221","ABB Motors Model 115"
"11/1/2024","P-0240","szt.","282","28","270","Uvex Safety glasses Model 206"
"11/1/2024","P-0241","szt.","134","110","126","FAG Bearings 183"
"11/1/2024","P-0242","szt.","164","39","156","3M Safety glasses Model 346"
"11/1/2024","P-0243","szt.","523","53","495","SICK Sensors Model 802"
"11/1/2024","P-0244","L","87","34","82","Mobil Oils 983L"
"11/1/2024","P-0245","szt.","336","55","324","Xerox Toner Model 174"
"11/1/2024","P-0246","op.","171","24","169","Navigator Paper Model 853"
"11/1/2024","P-0247","L","1115","75","1040","Castrol Oils 668L"
"11/1/2024","P-0248","L","63","240","886","Castrol Oils 808L"
"11/1/2024","P-0249","szt.","79","142","333","Brother Toner Model 775"
"11/1/2024","P-0250","szt.","325","110","316","Nowy Styl Office chairs 162"
"11/1/2024","P-0251","para","188","20","179","Honeywell Gloves Model 191"
"11/1/2024","P-0252","szt.","255","20","245","Ardon Workwear 822"
"11/1/2024","P-0253","szt.","151","61","141","Pepperl+Fuchs Sensors 814"
"11/1/2024","P-0254","szt.","104","30","102","Samsung Monitors Model 878"
"11/1/2024","P-0255","szt.","356","118","337","LG Monitors 764"
"11/1/2024","P-0256","szt.","164","25","178","Gates Engine parts 932"
"11/1/2024","P-0257","szt.","75","99","255","Milwaukee Tools 173"
"11/1/2024","P-0258","szt.","492","6","474","IKEA Office chairs 451"
"11/1/2024","P-0259","szt.","32","74","122","3M Safety glasses 288"
"11/1/2024","P-0260","L","659","178","612","Mobil Oils 304L"
"11/1/2024","P-0261","szt.","75","1","71","Sachs Engine parts Model 290"
"11/1/2024","P-0262","para","35","75","109","Honeywell Gloves Model 858"
"11/1/2024","P-0263","licencja","213","102","210","Adobe Software 132"
"11/1/2024","P-0264","szt.","324","94","312","Petzl Helmets Model 570"
"11/1/2024","P-0265","szt.","285","40","273","REX Screws 462"
"11/1/2024","P-0266","szt.","202","77","198","Profim Office chairs Model 400"
"11/1/2024","P-0267","szt.","287","24","267","Mahle Filters Model 982"
"11/1/2024","P-0268","szt.","532","64","495","Milwaukee Tools 314"
"11/1/2024","P-0269","szt.","201","85","167","ABB Motors 671"
"11/1/2024","P-0270","szt.","45","21","45","DeWalt Tools Model 795"
"11/1/2024","P-0271","szt.","7","4","7","Honeywell Safety glasses Model 521"
"11/1/2024","P-0272","szt.","201","34","159","Stabilo Pens Model 680"
"11/1/2024","P-0273","L","132","165","456","Castrol Oils 122L"
"11/1/2024","P-0274","L","167","203","407","Castrol Oils 486L"
"11/1/2024","P-0275","szt.","5","60","109","Siemens Motors 640"
"11/1/2024","P-0276","szt.","418","90","404","HP Toner 941"
"11/1/2024","P-0277","szt.","195","15","187","3M Safety glasses Model 328"
"11/1/2024","P-0278","szt.","185","13","177","Profim Office chairs Model 207"
"11/1/2024","P-0279","para","158","14","153","Ansell Gloves Model 841"
"11/1/2024","P-0280","szt.","359","17","338","SKF Bearings Model 346"
"11/1/2024","P-0281","szt.","94","75","83","Bosch Tools 232"
"11/1/2024","P-0282","szt.","239","128","222","3M Safety glasses 493"
"11/1/2024","P-0283","szt.","263","70","253","3M Helmets Model 904"
"11/1/2024","P-0284","szt.","128","2","116","Makita Tools 223"
"11/1/2024","P-0285","szt.","7","28","70","Honeywell Safety glasses Model 260"
"11/1/2024","P-0286","szt.","144","58","142","Dell Monitors 193"
"11/1/2024","P-0287","szt.","242","29","222","Uvex Safety glasses Model 318"
"11/1/2024","P-0288","szt.","275","63","334","Portwest Workwear 617"
"11/1/2024","P-0289","szt.","120","10","138","Mahle Filters 723"
"11/1/2024","P-0290","op.","128","60","118","Navigator Paper Model 857"
"11/1/2024","P-0291","op.","365","40","355","Xerox Paper Model 916"
"11/1/2024","P-0292","L","638","165","602","Total Oils 688L"
"11/1/2024","P-0293","szt.","439","39","418","Brother Printers 701"
"11/1/2024","P-0294","szt.","2","38","89","Dell Monitors 345"
"11/1/2024","P-0295","szt.","214","7","247","NTN Bearings 237"
"11/1/2024","P-0296","szt.","29","111","216","Profim Office chairs Model 562"
"11/1/2024","P-0297","szt.","220","23","210","Uvex Safety glasses 432"
"11/1/2024","P-0298","op.","228","66","224","Navigator Paper Model 775"
"11/1/2024","P-0299","szt.","127","66","119","Helly Hansen Workwear Model 122"
"11/1/2024","P-0300","szt.","117","39","106","ABB Motors Model 154"
"11/1/2024","P-0301","szt.","396","80","367","Mann Filters 123"
"11/1/2024","P-0302","szt.","355","26","381","Mahle Filters Model 686"
"11/1/2024","P-0303","szt.","388","11","412","Stabilo Pens 561"
"11/1/2024","P-0304","szt.","520","56","487","Bosch Filters 223"
"11/1/2024","P-0305","szt.","199","21","193","Canon Printers 859"
"11/1/2024","P-0306","szt.","260","15","251","Xerox Toner 349"
"11/1/2024","P-0307","szt.","272","34","262","Brother Printers 638"
"11/1/2024","P-0308","szt.","390","10","373","IKEA Office chairs 279"
"11/1/2024","P-0309","szt.","489","80","473","Stabilo Pens 806"
"11/1/2024","P-0310","licencja","345","29","328","Microsoft Software 380"
"11/1/2024","P-0311","szt.","95","64","170","Brother Printers Model 576"
"11/1/2024","P-0312","szt.","355","13","378","Mann Filters 672"
"11/1/2024","P-0313","szt.","110","51","108","Brother Toner Model 723"
"11/1/2024","P-0314","szt.","26","124","199","Bosch Engine parts Model 283"
"11/1/2024","P-0315","szt.","330","5","322","Nowy Styl Office chairs Model 266"
"11/1/2024","P-0316","szt.","84","51","83","BIC Pens 221"
"11/1/2024","P-0317","szt.","260","48","217","NTN Bearings 224"
"11/1/2024","P-0318","licencja","236","33","230","Microsoft Software Model 749"
"11/1/2024","P-0319","szt.","101","83","97","Dell Monitors Model 855"
"11/1/2024","P-0320","szt.","241","62","229","Portwest Workwear Model 102"
"11/1/2024","P-0321","szt.","49","12","46","HP Printers Model 161"
"11/1/2024","P-0322","L","684","262","1444","Castrol Oils 744L"
"11/1/2024","P-0323","szt.","107","14","97","SKF Bearings Model 701"
"11/1/2024","P-0324","szt.","133","12","125","Brother Toner Model 570"
"11/1/2024","P-0325","szt.","326","14","312","3M Safety glasses Model 497"
"11/1/2024","P-0326","szt.","196","87","190","Uvex Safety glasses 394"
"11/1/2024","P-0327","szt.","174","34","164","WEG Motors Model 109"
"11/1/2024","P-0328","szt.","277","14","257","Pepperl+Fuchs Sensors 724"
"11/1/2024","P-0329","szt.","141","100","132","Dell Laptops 765"
"11/1/2024","P-0330","szt.","96","49","93","LG Monitors 537"
"11/1/2024","P-0331","szt.","217","49","213","Dell Monitors Model 171"
"11/1/2024","P-0332","szt.","246","65","242","Xerox Toner 389"
"11/1/2024","P-0333","szt.","20","101","155","Siemens Sensors 799"
"11/1/2024","P-0334","szt.","7","70","75","Petzl Helmets Model 772"
"11/1/2024","P-0335","szt.","228","74","217","Helly Hansen Workwear Model 939"
"11/1/2024","P-0336","szt.","32","131","248","REX Screws 294"
"11/1/2024","P-0337","szt.","165","44","157","Gates Engine parts Model 645"
"11/1/2024","P-0338","szt.","198","50","186","Dell Monitors Model 106"
"11/1/2024","P-0339","szt.","199","132","399","ABB Motors 501"
"11/1/2024","P-0340","szt.","63","18","60","HP Toner Model 839"
"11/1/2024","P-0341","szt.","509","43","496","Profim Office chairs Model 501"
"11/1/2024","P-0342","szt.","99","34","93","Bosch Filters 532"
"11/1/2024","P-0343","szt.","140","17","129","3M Helmets 439"
"11/1/2024","P-0344","szt.","411","99","551","Mahle Filters Model 459"
"11/1/2024","P-0345","szt.","57","84","204","Dell Monitors Model 325"
"11/1/2024","P-0346","szt.","6","56","71","Bosch Filters Model 779"
"11/1/2024","P-0347","szt.","382","80","361","Pepperl+Fuchs Sensors Model 474"
"11/1/2024","P-0348","szt.","30","63","93","Helly Hansen Workwear Model 871"
"11/1/2024","P-0349","op.","120","1","114","Xerox Paper Model 308"
"11/1/2024","P-0350","szt.","372","88","336","Pepperl+Fuchs Sensors 215"
"12/1/2024","P-0001","szt.","193","42","252","HP Laptops Model 298"
"12/1/2024","P-0002","op.","254","29","243","Navigator Paper 643 op."
"12/1/2024","P-0003","op.","220","129","214","Papyrus Paper Model 522"
"12/1/2024","P-0004","szt.","125","54","119","Bosch Tools Model 429"
"12/1/2024","P-0005","szt.","148","81","139","Uvex Safety glasses 779"
"12/1/2024","P-0006","szt.","565","90","518","Siemens Sensors Model 208"
"12/1/2024","P-0007","szt.","98","61","98","Samsung Monitors Model 944"
"12/1/2024","P-0008","szt.","167","104","159","SKF Bearings Model 874"
"12/1/2024","P-0009","szt.","144","30","216","Honeywell Safety glasses Model 232"
"12/1/2024","P-0010","szt.","191","117","181","Sachs Engine parts 450"
"12/1/2024","P-0011","L","625","85","582","Total Oils 819L"
"12/1/2024","P-0012","szt.","220","180","209","BIC Pens 163"
"12/1/2024","P-0013","szt.","50","27","49","Honeywell Safety glasses 887"
"12/1/2024","P-0014","szt.","351","62","325","Milwaukee Tools 443"
"12/1/2024","P-0015","szt.","292","50","286","BIC Pens 103"
"12/1/2024","P-0016","szt.","244","21","234","DeWalt Tools 515"
"12/1/2024","P-0017","licencja","135","45","131","Microsoft Software 999"
"12/1/2024","P-0018","szt.","237","16","225","Siemens Motors 796"
"12/1/2024","P-0019","licencja","253","1","240","Adobe Software 759"
"12/1/2024","P-0020","szt.","85","7","83","3M Helmets 338"
"12/1/2024","P-0021","para","107","44","105","Uvex Gloves Model 145"
"12/1/2024","P-0022","para","44","12","42","Honeywell Gloves Model 259"
"12/1/2024","P-0023","szt.","62","2","58","Mahle Filters 477"
"12/1/2024","P-0024","szt.","164","65","159","Xerox Toner 151"
"12/1/2024","P-0025","szt.","169","63","164","BIC Pens Model 740"
"12/1/2024","P-0026","szt.","94","53","93","Gates Engine parts 379"
"12/1/2024","P-0027","szt.","94","50","91","IKEA Office chairs Model 477"
"12/1/2024","P-0028","szt.","320","103","307","Wurth Screws 413"
"12/1/2024","P-0029","szt.","345","12","325","Bosch Engine parts Model 132"
"12/1/2024","P-0030","op.","205","80","197","Xerox Paper 153 op."
"12/1/2024","P-0031","szt.","355","85","338","Portwest Workwear Model 390"
"12/1/2024","P-0032","szt.","109","52","99","Gates Engine parts Model 115"
"12/1/2024","P-0033","szt.","302","84","291","Helly Hansen Workwear Model 267"
"12/1/2024","P-0034","op.","130","49","128","Navigator Paper 836 op."
"12/1/2024","P-0035","szt.","117","24","114","Nowy Styl Office chairs 420"
"12/1/2024","P-0036","szt.","467","3","450","Lenovo Laptops 221"
"12/1/2024","P-0037","szt.","404","79","380","Mann Filters 571"
"12/1/2024","P-0038","szt.","227","90","214","REX Screws Model 266"
"12/1/2024","P-0039","szt.","181","25","168","Dell Monitors Model 664"
"12/1/2024","P-0040","szt.","297","21","281","Dell Laptops 886"
"12/1/2024","P-0041","szt.","314","52","345","Mahle Filters 384"
"12/1/2024","P-0042","licencja","216","83","173","Microsoft Software Model 985"
"12/1/2024","P-0043","para","278","90","270","Honeywell Gloves Model 797"
"12/1/2024","P-0044","szt.","495","10","461","NTN Bearings 355"
